,DK,NO,DE,BE,NL,GB
2015-01-01 00:00:00,11044.190558661598,33361.6311235636,239847.74896742817,41845.99688665223,70772.1041117834,124710.67185422569
2015-01-01 01:00:00,10423.845000760804,31913.884989010043,240385.48929034264,40316.10141503476,69185.30089004955,126902.97055335964
2015-01-01 02:00:00,9526.42902573078,30786.31723305299,242711.82283887727,39544.35555175211,67518.1092715252,119191.96019617032
2015-01-01 03:00:00,9457.441795091845,29924.112865290594,248717.35531275455,39160.612079391685,67021.2074161654,112536.62526116152
2015-01-01 04:00:00,9863.7957360014,29883.19443166643,252660.97484850773,39075.73548397495,67097.40527507316,107384.89150174709
2015-01-01 05:00:00,10084.569106558381,30358.63929402494,255967.2980277291,39255.82723623514,67378.45692047312,103648.72868647295
2015-01-01 06:00:00,10819.135602496226,30500.725588207602,258853.98949937735,38041.85109773053,70104.96349814288,101594.39135166293
2015-01-01 07:00:00,11495.398162537856,30830.08238009688,262290.4108776413,36834.364242258554,68713.65934361397,104496.33103997285
2015-01-01 08:00:00,11915.685665337443,30979.5906955128,270700.67156268307,42643.85442615834,68051.88986652433,102529.91837305848
2015-01-01 09:00:00,11327.578642381774,30823.753064888948,280245.27412691206,46933.04859445724,68870.4397341408,102007.63204387974
2015-01-01 10:00:00,10801.009488514133,30708.210515618317,293158.62477444636,58621.20422599075,70810.34204638968,100558.85164688175
2015-01-01 11:00:00,10343.015234313521,30818.08833714663,312257.15606992785,62190.27383239035,71085.87146790407,98600.19519866827
2015-01-01 12:00:00,10300.655866156409,30841.72569272957,315002.9195125366,61304.87351758136,70260.29373315955,96190.39843209238
2015-01-01 13:00:00,9521.788855208117,30737.07208251556,276895.45188224025,54549.828352872915,67722.41943231013,98726.33329012514
2015-01-01 14:00:00,9464.16698611552,31255.666185596456,266409.55583754374,42644.27128049365,66339.60071540058,95588.33535112973
2015-01-01 15:00:00,11284.357457613169,31757.479227893684,278259.9045728305,44613.119237915846,64531.19547960602,93969.21702228082
2015-01-01 16:00:00,12422.785167581938,31454.837780020705,288924.3731891892,41139.73658763715,67024.31033221785,93442.53853997911
2015-01-01 17:00:00,13075.732657629489,31174.341050735067,287987.8082706849,39882.0623067737,66824.87369148403,91836.42860037545
2015-01-01 18:00:00,13254.89605877709,30791.613264513584,288388.67911383114,40398.90190396205,67010.20248245704,88527.5389575725
2015-01-01 19:00:00,13394.959343469302,30097.829041931553,279438.2262615918,40282.06401923468,69399.09533901767,88061.64009824426
2015-01-01 20:00:00,13543.933458343898,29586.78140905676,286669.6462156005,40697.486632147185,69927.22168102863,84971.51417819051
2015-01-01 21:00:00,13695.079450699004,28813.47958801417,292929.6512337719,41074.9610755038,71608.21483832164,82754.5019856008
2015-01-01 22:00:00,13698.7782591996,28089.584213990904,294173.7278670472,41263.46319055068,69533.90549317902,81221.67374704423
2015-01-01 23:00:00,13688.47993622311,27181.068809681827,293441.5249893943,41709.69413521604,65472.49789888027,80709.54976175555
2015-01-02 00:00:00,13420.382550711167,25679.665417592452,296449.35351865826,40542.308045745594,65440.59414248407,81626.41855830995
2015-01-02 01:00:00,11774.647469857911,24864.275578531644,296429.8199633523,41338.5527258066,62654.23831358191,87309.42994073662
2015-01-02 02:00:00,11090.83580685933,24367.388695824593,300074.78154791036,42689.94411878633,61762.71193572815,89581.99728798677
2015-01-02 03:00:00,11445.074740476746,24447.36937675989,302822.02439014707,41393.617141525945,61138.14887585073,92383.60346235373
2015-01-02 04:00:00,11540.932826387616,25686.16608054474,302063.91914228536,37929.88381699969,60260.314889920715,102679.17160473598
2015-01-02 05:00:00,11459.457841959309,27857.606595602734,301172.57629461325,36389.25723298369,58767.04871574912,117355.86343434392
2015-01-02 06:00:00,11649.100726941026,29934.42915243505,296671.218740408,35130.20428923854,55914.49365051746,132687.08748738864
2015-01-02 07:00:00,11969.372555960192,30920.37248748775,296630.49427751114,32896.53814936898,54833.087872671415,137165.73020887419
2015-01-02 08:00:00,12138.86240464023,31571.10514613895,297399.4826355919,32359.522204086177,54306.52931598995,147597.67662538352
2015-01-02 09:00:00,12593.984830424972,32423.68850931088,289036.419397089,33842.60306305413,58036.050805780644,150114.89517733527
2015-01-02 10:00:00,12990.122709661453,32729.81819985594,292947.9279320769,37339.99748614952,67941.26723136289,149952.58072079506
2015-01-02 11:00:00,13446.961665231316,32985.02166422705,294758.8755774728,35213.47439824135,68022.5733748724,145191.13987280344
2015-01-02 12:00:00,13793.600707220285,33069.80575052542,278525.17961490434,36158.694268073334,67642.52880735956,141070.2309952549
2015-01-02 13:00:00,13774.004929923563,33258.93966577991,282043.37103446334,34172.99383205945,67314.61267389044,143052.8926153306
2015-01-02 14:00:00,13971.993206415491,33824.57890640412,270999.2645008053,31662.00823409429,63893.347304512106,139685.0727438589
2015-01-02 15:00:00,13901.709764476025,30141.53939280347,273237.48798989056,27945.122824954135,59921.38333293055,131389.63855713545
2015-01-02 16:00:00,13709.819341826518,30203.74278026465,273170.7404443094,37495.102731250154,61750.0549877687,127168.7655142279
2015-01-02 17:00:00,13680.163639699469,30153.97569335478,276386.49096628453,38960.54196590974,62374.9669857839,130321.77265130931
2015-01-02 18:00:00,13394.442272115288,29994.3873986579,285512.4676722905,38793.398299632056,64551.26926379813,134737.72040446414
2015-01-02 19:00:00,13945.856428259442,27956.43707391374,273487.1713921444,37751.538672732015,62885.074751291024,133562.55428902988
2015-01-02 20:00:00,13998.434424236744,26033.841714270508,273988.9524714495,37532.75933143406,61056.32559159572,133388.92845218023
2015-01-02 21:00:00,13882.815826163536,24316.92943628734,274011.89334153675,40187.3095643908,58955.74462430134,133583.55093629973
2015-01-02 22:00:00,13922.22073810984,22554.357803453175,270392.414128802,41507.650018929824,57576.21498141441,134668.3777333136
2015-01-02 23:00:00,13871.180115192336,21175.260634478043,268907.8744456762,41139.58511964354,56463.28447207855,136263.94032725022
2015-01-03 00:00:00,13674.368378062722,20143.769911523857,274156.35185850604,39271.12144831456,59737.56525265008,140620.0132542263
2015-01-03 01:00:00,13607.615759971824,20202.54925213177,271042.44060454104,37472.18545484834,60694.19312362889,140875.49879328677
2015-01-03 02:00:00,13540.987135612791,20465.25783535149,277450.59707147547,36442.857318225506,61997.614403459615,138741.47077825884
2015-01-03 03:00:00,13546.10089498723,20736.772098135392,278071.76954629354,37850.89092601479,61709.008165408675,134515.0611209453
2015-01-03 04:00:00,12817.967592148281,22046.288537207085,278554.3442630661,44299.3095906554,61009.61367299023,136324.5331646004
