,DK,NO,DE,BE,NL,GB
2015-01-01 00:00:00,7494.422122391066,24819.324552585225,205888.25939389327,37756.682552355865,48274.964873962635,122072.44488180673
2015-01-01 01:00:00,8046.628505135085,24243.331002257353,203189.1911257954,36325.33612064075,48977.752486174715,124148.45830992096
2015-01-01 02:00:00,8267.220746163483,23864.710176527424,207052.40413956906,35470.658643485076,50735.90744956146,119843.83676995791
2015-01-01 03:00:00,9600.098192880429,23670.06806909281,212086.48636308705,34925.59194393187,51778.787953329505,116433.49781335688
2015-01-01 04:00:00,10401.684140645364,23792.455582685536,214597.89503337216,34731.9484144548,52588.99790192695,113976.23230713909
2015-01-01 05:00:00,10627.354905564098,24120.323845925268,217089.28410805573,34837.00625167568,53453.42242894319,113166.0370758425
2015-01-01 06:00:00,11356.595383894713,24351.442997964845,215459.21408373257,33445.63270822876,52138.793519163984,111283.37340255197
2015-01-01 07:00:00,12027.433630682151,24563.68907690679,221609.87409800012,32132.592384976513,55697.67516865683,113178.3707305133
2015-01-01 08:00:00,12442.831927124587,24727.488643493616,225286.4303633314,31428.377192565185,57272.884048882865,113962.72966801436
2015-01-01 09:00:00,11855.063232619268,24772.5260574404,238822.45703142264,37338.761993543056,58458.30161959443,114325.50780675576
2015-01-01 10:00:00,11321.952285683685,24863.308092556916,245859.01691149865,36323.74522103716,57087.02790181425,113331.58675056021
2015-01-01 11:00:00,10865.142946162057,25130.814176354008,244806.23809643372,34828.308670038634,55515.827510229115,115737.75051514649
2015-01-01 12:00:00,10830.902338060354,25263.192039564314,242385.7734090101,34028.88455738329,54401.77357642071,116148.99300565592
2015-01-01 13:00:00,10053.402247786034,25265.18293066908,233398.0449492749,33737.7467986698,53682.841519570895,115037.75480698458
2015-01-01 14:00:00,9999.007821284857,25660.78903357868,218020.69160432156,32526.437466120977,54137.38698270651,113557.90235211933
2015-01-01 15:00:00,11836.428135335169,26029.64110134971,217775.56216116663,29030.99152527789,55637.653722570605,115503.0640906778
2015-01-01 16:00:00,12987.659353444998,25754.774568671866,223014.42758765502,31176.047640220742,58027.220905621056,115706.8355063897
2015-01-01 17:00:00,13589.584557756814,25522.35368555639,226077.89566370216,31925.428438251714,58072.62403827144,117215.75973743771
2015-01-01 18:00:00,13792.883401346255,25261.19177224115,227523.50772251224,32174.940779162644,58716.46479194476,113235.01504226487
2015-01-01 19:00:00,13737.940047280375,24815.95214502419,226438.97805757006,31444.154089973876,58975.588143851346,112357.98460674928
2015-01-01 20:00:00,13564.403250934098,24463.833960334006,230114.60732454463,31674.84882857764,58611.22740766316,106874.28102819763
2015-01-01 21:00:00,13533.665783051494,23851.78248650997,235134.28735450553,31952.365300332483,57470.27246659647,101344.65330193628
2015-01-01 22:00:00,13470.062573264247,23129.758361771168,236857.69963402118,31762.216986299125,56219.407998695664,95784.89586446986
2015-01-01 23:00:00,13324.060083541859,22587.927215986372,236085.61983090002,30905.239954895274,55288.06795730761,92860.41586708718
