,electricity
0,0.14357497647358794
1,0.121299060715468
2,0.13738045217711517
3,0.2061547413258244
4,0.2792729116650947
5,0.3192260320424777
6,0.32817984269098555
7,0.3296019763071814
8,0.3318582566407966
9,0.31548407112263427
10,0.27507153900338266
11,0.2315167329367211
12,0.19969829505992961
13,0.18729407585003
14,0.2013022666357304
15,0.2429274036352285
16,0.2951028164580862
17,0.351799096928552
18,0.41950277703114963
19,0.486337363941594
20,0.5366169755771165
21,0.5599180516543816
22,0.5609312637094561
23,0.5463206117730572
24,0.5430048175129871
25,0.5580169251893
26,0.5849544203907281
27,0.6253869448130033
28,0.6779595208914398
29,0.7339010103975638
30,0.7938872213809341
31,0.8460231465333345
32,0.884028214299291
33,0.9039193347364901
34,0.917195999526381
35,0.9175365985145785
36,0.884366488958291
37,0.8423266512433335
38,0.8267233701328957
39,0.8000781041714304
40,0.7570692131654948
41,0.7121703405593434
42,0.7320587957671004
43,0.7385751976885925
44,0.7607260637854055
45,0.8398014400169607
46,0.859433993593066
47,0.8917687447679732
48,0.9091172698495891
49,0.9275521923291352
50,0.9388526517272294
51,0.9443428200439843
52,0.9401809253060298
53,0.9403091165182706
54,0.9399238008641096
55,0.9401167370102944
56,0.9377644419200134
57,0.9336253060851575
58,0.9267886509727671
59,0.9036287991617266
60,0.8679029022960881
61,0.8611996828762298
62,0.8872097299724714
63,0.9320248928432033
64,0.9591126902079132
65,0.9760286561936659
66,0.9830236231863284
67,0.9831816681907342
68,0.9816363221198616
69,0.9816874595176656
70,0.9796084867629361
71,0.978833744129642
72,0.9702650374713787
73,0.9614059540658707
74,0.9525876960079513
75,0.9390812844488935
76,0.9335196558372316
77,0.9333785578007823
78,0.9504445721424295
79,0.9672214156547285
80,0.9602648948261776
81,0.9559662830507636
82,0.9674527330154393
83,0.9785016913356736
84,0.9803337110729117
85,0.9800926898775404
86,0.9796845039649222
87,0.976075996094461
88,0.973656069700492
89,0.973656069700492
90,0.9715097607941808
91,0.9706453232674982
92,0.9725167830407419
93,0.973710648441341
94,0.972181372814016
95,0.9710042260071672
96,0.9658698154641421
97,0.9594706950477486
98,0.9394390178077675
99,0.9080970287061454
100,0.8376863784982764
101,0.762350800156732
102,0.7628273396319134
103,0.7848964558534623
104,0.8154733416510765
105,0.8636555210681807
106,0.9040160172399935
107,0.9318449872405399
108,0.9505794439308249
109,0.9572755834450195
110,0.9595819349786279
111,0.9574161156321637
112,0.9589550840023369
113,0.9633688823877175
114,0.9709266633183694
115,0.9776988476852877
116,0.9809402040844492
