LOCATION: Energinet Lot4_SWLB
SYSTEM SERIAL: SWLB44
TIMESTAMP (ISO-8601) UTC;liBattteryVoltage unknown;liPODHumidity unknown;liRain unknown;liMirrorTemp unknown;liStatusFlagHi unknown;liStatusFlagLow unknown;liInfoFlagHi unknown;liInfoFlagLow unknown;liInfoFlag;liStatusFlag;liInfoFlagText;liStatusFlagText;liPacketCount270m;liPacketCount240m;liPacketCount200m;liPacketCount180m;liPacketCount150m;liPacketCount120m;liPacketCount100m;liPacketCount090m;liPacketCount060m;liPacketCount030m;liPacketCount040m
2022-02-22T16:00:00Z;  12.108400;  34.960940;   0.000000;  17.988280;   0.000000;   0.000000;   0.000000;   4.000000;   4.000000;   0.000000;ShutterOpen;FullyOperational;  33.000000;  27.000000;  34.000000;  31.000000;  30.000000;  29.000000;  30.000000;  30.000000;  30.000000;  27.000000;  29.000000
2022-02-22T16:10:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  30.000000;  29.000000;  28.000000;  29.000000;  26.000000;  26.000000;  30.000000;  28.000000;  32.000000;  27.000000;  32.000000
2022-02-22T16:20:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  33.000000;  32.000000;  33.000000;  32.000000;  28.000000;  30.000000;  31.000000;  31.000000;  32.000000;  33.000000;  32.000000
2022-02-22T16:30:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  33.000000;  33.000000;  32.000000;  30.000000;  27.000000;  30.000000;  31.000000;  27.000000;  30.000000;  28.000000;  30.000000
2022-02-22T16:40:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  30.000000;  32.000000;  27.000000;  27.000000;  28.000000;  31.000000;  27.000000;  31.000000;  29.000000;  28.000000;  29.000000
2022-02-22T16:50:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  29.000000;  33.000000;  30.000000;  32.000000;  30.000000;  29.000000;  26.000000;  28.000000;  31.000000;  32.000000;  31.000000
2022-02-22T17:00:00Z;  12.161130;  34.960940;   0.000000;  17.988280;   0.000000;   0.000000;   0.000000;   4.000000;   4.000000;   0.000000;ShutterOpen;FullyOperational;  34.000000;  33.000000;  31.000000;  28.000000;  29.000000;  30.000000;  32.000000;  33.000000;  29.000000;  32.000000;  30.000000
2022-02-22T17:10:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  30.000000;  30.000000;  30.000000;  30.000000;  31.000000;  30.000000;  30.000000;  32.000000;  32.000000;  31.000000;  32.000000
2022-02-22T17:20:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  32.000000;  31.000000;  31.000000;  31.000000;  34.000000;  31.000000;  29.000000;  31.000000;  33.000000;  35.000000;  32.000000
2022-02-22T17:30:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  30.000000;  32.000000;  28.000000;  30.000000;  28.000000;  31.000000;  32.000000;  32.000000;  32.000000;  31.000000;  35.000000
2022-02-22T17:40:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  31.000000;  30.000000;  28.000000;  27.000000;  31.000000;  31.000000;  28.000000;  28.000000;  33.000000;  32.000000;  27.000000
2022-02-22T17:50:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  33.000000;  29.000000;  28.000000;  28.000000;  31.000000;  33.000000;  31.000000;  31.000000;  30.000000;  33.000000;  32.000000
2022-02-22T18:00:00Z;  11.950200;  34.960940;   0.000000;  17.988280;   0.000000;   0.000000;   0.000000;   4.000000;   4.000000;   0.000000;ShutterOpen;FullyOperational;  33.000000;  33.000000;  33.000000;  30.000000;  28.000000;  31.000000;  30.000000;  32.000000;  32.000000;  33.000000;  33.000000
2022-02-22T18:10:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  33.000000;  32.000000;  32.000000;  34.000000;  29.000000;  29.000000;  35.000000;  31.000000;  30.000000;  30.000000;  29.000000
2022-02-22T18:20:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  31.000000;  31.000000;  34.000000;  31.000000;  34.000000;  34.000000;  34.000000;  33.000000;  31.000000;  31.000000;  34.000000
2022-02-22T18:30:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  31.000000;  34.000000;  33.000000;  34.000000;  33.000000;  32.000000;  32.000000;  32.000000;  31.000000;  34.000000;  31.000000
2022-02-22T18:40:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  34.000000;  34.000000;  33.000000;  35.000000;  34.000000;  34.000000;  30.000000;  28.000000;  30.000000;  29.000000;  30.000000
2022-02-22T18:50:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  33.000000;  30.000000;  28.000000;  31.000000;  32.000000;  29.000000;  34.000000;  27.000000;  29.000000;  30.000000;  28.000000
2022-02-22T19:00:00Z;  12.055660;  34.960940;   0.000000;  17.988280;   0.000000;   0.000000;   0.000000;   4.000000;   4.000000;   0.000000;ShutterOpen;FullyOperational;  31.000000;  30.000000;  30.000000;  29.000000;  32.000000;  32.000000;  30.000000;  28.000000;  27.000000;  28.000000;  29.000000
2022-02-22T19:10:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  30.000000;  29.000000;  27.000000;  31.000000;  28.000000;  26.000000;  28.000000;  30.000000;  32.000000;  33.000000;  29.000000
2022-02-22T19:20:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  29.000000;  29.000000;  31.000000;  32.000000;  30.000000;  31.000000;  33.000000;  33.000000;  34.000000;  33.000000;  33.000000
2022-02-22T19:30:00Z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;  30.000000;  29.000000;  28.000000;  27.000000;  29.000000;  27.000000;  30.000000;  30.000000;  29.000000;  30.000000;  28.000000
